Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built Between 2006 And 2010,Total Households For Period Of Construction Built Between 2011 And 2015,Total Households For Period Of Construction Built Between 2016 And 2021,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
6503,3995,53200,3995,1350,1780,230,285,50,100,75,135,330,3660,5,3995,1345,2650
2642,1150,67500,1150,805,220,50,45,10,0,15,10,890,270,0,1150,785,365
5146,1445,96000,1445,15,50,310,495,350,135,75,15,240,1205,0,1445,835,610
7989,2665,117000,2665,10,0,0,60,455,1235,430,465,2270,375,20,2665,2090,570
3690,1455,92000,1455,40,320,205,235,150,140,170,185,1155,320,0,1455,1175,275
951,355,112000,355,210,85,20,25,0,0,0,10,335,10,10,355,290,65
1343,515,123000,515,340,75,0,0,0,10,25,55,490,10,15,515,420,85
811,395,77000,395,10,0,0,25,225,90,40,0,90,310,0,395,315,80
3644,2640,39600,2640,770,1050,380,225,60,25,105,25,100,2540,0,2640,450,2195
3130,1035,84000,1035,20,55,150,215,175,315,80,20,810,220,5,1035,835,205
3386,1585,72000,1585,260,1080,120,45,15,25,20,20,1020,520,45,1585,935,650
2058,840,68000,840,35,710,55,0,0,25,0,0,445,390,5,840,530,310
4341,1755,87000,1755,25,1170,480,50,10,15,0,0,1620,125,10,1755,1520,235
9104,3110,101000,3110,15,0,10,10,15,220,655,2175,2835,310,0,3110,2420,690
6280,2265,111000,2265,10,50,330,1615,170,40,10,45,2205,60,0,2265,2145,120
6821,2500,104000,2500,85,805,555,665,285,45,60,10,2040,465,0,2500,2110,390
3645,1140,107000,1140,0,85,855,180,10,0,0,0,965,180,0,1140,935,205
7416,2450,113000,2450,85,1070,105,700,205,195,65,25,2350,100,0,2450,2285,160
4029,1800,48800,1800,865,570,105,110,30,25,75,25,490,1335,0,1800,650,1150
8000,3040,115000,3040,450,635,535,490,210,160,110,450,2925,115,0,3040,2805,235
4903,1330,101000,1330,65,385,450,220,55,35,35,85,695,625,10,1330,960,380
4492,2700,59600,2700,490,1245,300,70,20,0,145,425,55,2705,0,2700,510,2195
9049,4095,55600,4095,480,1455,1055,255,105,195,350,205,690,3410,0,4095,1365,2735
4041,1445,109000,1445,195,670,185,180,75,65,50,30,1420,0,25,1445,1300,150
3151,1490,51600,1490,940,250,120,120,30,10,20,0,640,865,0,1490,525,960
1357,550,62400,550,95,180,115,60,25,25,15,35,515,0,35,550,510,40
3579,1355,91000,1355,200,1000,70,50,10,0,10,10,1120,235,0,1355,1180,175
6217,4020,50400,4020,1005,1375,470,270,95,125,55,620,50,4025,0,4020,635,3380
6482,2260,104000,2260,0,195,1140,630,60,105,115,10,2240,30,0,2260,2045,215
6301,3345,76500,3345,125,55,110,275,465,1085,890,335,150,3165,30,3345,2175,1165
7663,3555,67000,3555,35,40,415,280,465,655,520,1145,1100,2445,10,3555,1560,1995
4586,2370,72500,2370,760,360,165,240,95,240,215,295,1025,1355,0,2370,1245,1120
4578,1660,79000,1660,55,1000,295,280,20,0,0,10,1395,240,25,1660,1145,515
5329,2565,52000,2565,685,765,475,140,90,120,165,120,1045,1525,0,2565,1110,1455
1733,670,87000,670,260,240,55,15,45,10,40,0,535,135,0,670,115,555
4881,3390,56400,3390,865,1365,330,125,60,110,395,150,10,3460,0,3390,415,2970
3797,2190,50400,2190,150,460,105,150,225,15,550,530,10,2160,20,2190,840,1350
1500,545,100000,545,0,35,10,0,10,15,15,465,530,15,0,545,520,25
4979,1500,102000,1500,35,50,60,40,50,515,560,200,1425,70,5,1500,1365,135
5528,1680,118000,1680,0,0,45,1075,515,25,10,10,1635,40,5,1680,1580,105
8886,3230,71000,3230,675,1365,400,85,90,110,75,420,1830,1395,5,3230,1730,1500
2003,780,87000,780,35,725,15,0,0,0,0,0,770,0,10,780,745,30
5994,3530,54000,3530,915,1700,505,295,30,10,15,70,290,3230,10,3530,1030,2495
3703,1000,115000,1000,320,180,25,125,105,165,55,30,860,125,15,1000,855,150
2241,940,82000,940,125,255,190,190,60,25,30,55,925,0,15,940,885,50
4968,1315,94000,1315,0,0,20,140,635,290,115,105,975,315,25,1315,865,445
4560,1855,102000,1855,580,445,320,215,80,75,60,80,1315,535,5,1855,1420,430
4931,2600,55200,2600,1245,540,180,95,120,65,180,185,845,1765,0,2600,1055,1545
9746,6690,73500,6690,25,30,40,185,465,810,2425,2700,15,6555,120,6690,2485,4205
2144,1260,43200,1260,460,350,185,105,40,30,60,25,50,1175,35,1260,280,975
5058,2120,79500,2120,580,280,150,235,40,145,320,370,540,1610,0,2120,945,1175
6901,2390,85000,2390,1340,450,140,180,50,55,85,90,1815,625,0,2390,1960,430
109,40,,40,0,15,0,0,10,0,0,10,40,0,0,40,20,0
1238,685,49600,685,335,115,90,25,35,45,15,20,10,670,5,685,175,515
5725,2245,98000,2245,40,690,540,425,230,200,105,0,1765,480,0,2245,1930,310
2357,965,75500,965,635,245,30,40,10,0,0,0,885,80,0,965,765,205
3771,1350,89000,1350,115,740,175,225,50,0,10,35,1005,335,10,1350,895,455
2971,1295,71500,1295,240,625,165,150,30,40,30,10,1010,285,0,1295,940,360
3813,1195,90000,1195,0,255,530,315,50,15,25,10,1150,40,5,1195,1155,40
2748,1540,44800,1540,935,255,165,65,50,25,20,35,945,605,0,1540,585,955
7367,2155,114000,2155,0,0,0,65,155,1255,510,170,2145,10,0,2155,2000,150
3087,1195,68000,1195,195,855,60,45,15,0,20,0,1030,170,0,1195,825,365
4853,2160,65000,2160,345,725,145,135,190,185,295,140,1365,805,0,2160,1585,575
4740,1760,69500,1760,345,795,250,130,125,40,65,10,670,1110,0,1760,845,915
1930,690,72000,690,160,280,90,45,15,55,30,20,625,15,50,690,550,145
4407,1900,64000,1900,100,1475,120,135,30,20,20,0,935,1000,0,1900,900,1005
2152,1165,65500,1165,850,160,15,40,10,55,25,10,45,1080,40,1165,385,780
2497,950,75500,950,25,315,160,125,150,90,40,35,310,0,640,950,840,110
3482,1435,74500,1435,145,685,245,105,60,45,50,100,1055,380,0,1435,1120,310
1834,605,112000,605,0,0,0,0,10,0,270,315,490,95,20,605,540,65
7130,3225,52400,3225,805,1090,510,255,90,90,110,285,850,2380,0,3225,1035,2190
2482,1000,105000,1000,40,210,200,250,85,90,60,70,865,35,100,1000,885,110
4780,2160,68000,2160,590,830,305,185,50,45,60,90,715,1425,20,2160,1245,915
2691,1545,42400,1545,610,650,145,80,35,15,15,0,10,1450,85,1545,310,1235
6421,2380,88000,2380,15,510,435,300,165,185,490,285,1995,295,90,2380,1755,625
9332,4095,75000,4095,145,1545,770,165,80,345,525,525,1815,2280,0,4095,2955,1135
5711,2225,68500,2225,75,655,1040,200,105,90,60,0,1130,1095,0,2225,1515,720
7921,3210,79000,3210,1420,760,205,415,165,95,70,90,3145,65,0,3210,2890,325
3826,1420,80000,1420,165,390,280,510,35,25,10,10,1345,80,0,1420,1280,140
2935,685,123000,685,0,0,0,20,35,370,240,20,675,5,5,685,610,75
6247,2015,105000,2015,0,20,115,1380,405,70,0,15,2000,15,0,2015,1725,295
4979,2650,60800,2650,1125,540,220,125,95,145,275,130,750,1905,0,2650,975,1675
6191,2090,94000,2090,0,0,15,25,40,830,970,190,1800,210,80,2090,1465,625
3684,1935,51600,1935,235,1055,280,145,85,75,30,25,770,1135,30,1935,690,1250
2399,1175,56400,1175,220,360,190,250,30,55,35,30,975,115,85,1175,970,210
3756,1575,91000,1575,0,215,845,500,0,0,0,0,675,895,5,1575,1400,180
1910,1195,40000,1195,525,420,95,115,10,0,0,20,55,1090,50,1195,230,965
5627,2115,86000,2115,145,470,475,660,130,95,20,115,1965,135,15,2115,1770,345
6715,2330,75000,2330,655,1140,330,135,25,0,25,0,1045,1355,0,2330,1045,1290
3127,1580,69500,1580,70,405,155,150,110,35,40,625,620,965,0,1580,1135,440
3645,1495,70500,1495,15,595,160,155,40,115,395,30,900,570,25,1495,975,525
3995,2415,70500,2415,35,145,330,345,260,600,320,385,220,2185,10,2415,1335,1075
5280,2000,59200,2000,320,1070,210,115,55,60,25,155,700,1345,0,2000,1060,940
5358,2210,88000,2210,1630,280,50,60,35,65,55,35,915,1305,0,2210,1205,1010
3930,1105,101000,1105,0,10,25,40,75,560,345,50,840,255,10,1105,740,365
4733,1820,83000,1820,325,530,190,465,90,40,15,155,1780,60,0,1820,1685,135
10062,4110,96000,4110,535,680,415,360,375,585,465,700,3915,195,0,4110,3280,830
5115,1945,101000,1945,1430,340,40,20,20,0,15,85,1205,740,0,1945,1430,515
4106,1740,62800,1740,255,980,305,55,0,40,80,15,900,860,0,1740,1025,715
5179,1645,85000,1645,105,1145,175,170,35,15,0,0,1060,560,25,1645,1240,405
3196,1810,55600,1810,235,1050,330,135,15,20,10,10,50,1820,0,1810,635,1175
4744,1700,95000,1700,885,235,180,90,100,45,60,105,815,865,20,1700,1050,645
4910,2010,59200,2010,545,955,230,100,30,85,40,35,655,1385,0,2010,725,1280
3545,1515,64500,1515,160,795,235,270,30,0,25,0,400,1085,30,1515,275,1245
1905,655,98000,655,90,165,45,35,105,75,110,25,560,105,0,655,550,105
4598,1345,89000,1345,70,540,585,105,25,0,20,0,975,370,0,1345,1135,210
6551,3445,48800,3445,600,1225,505,275,130,145,230,340,460,3025,0,3445,665,2780
3346,2110,29400,2110,810,615,220,220,75,85,40,50,195,1960,0,2110,310,1805
5789,1810,78500,1810,50,710,850,115,35,20,25,15,1210,600,0,1810,1340,475
6340,3060,55200,3060,425,670,1550,185,85,90,30,30,890,2165,5,3060,1520,1535
3541,1595,74000,1595,115,1185,180,80,10,10,0,15,1330,235,30,1595,1270,320
2133,1165,33600,1165,665,215,50,75,45,80,35,0,165,1000,0,1165,225,940
6692,2240,86000,2240,785,685,235,165,45,75,110,135,2195,30,15,2240,2030,210
3884,1110,122000,1110,35,110,570,340,30,10,0,10,1025,85,0,1110,1015,95
29669,7520,104000,7520,15,10,25,20,70,60,1705,5625,7165,405,0,7520,6080,1445
3817,1800,65500,1800,150,335,245,625,240,110,60,20,705,1085,10,1800,985,810
5404,2425,52400,2425,760,1185,205,140,65,0,35,25,1165,1250,10,2425,910,1510
6817,2675,81000,2675,275,860,350,310,230,245,265,135,2360,210,105,2675,2360,310
2739,1100,56800,1100,175,315,215,175,40,40,50,85,925,105,70,1100,635,90
4098,1415,82000,1415,0,45,45,375,570,230,110,35,1165,220,30,1415,875,540
3623,1180,121000,1180,10,85,775,245,40,0,0,15,1095,55,30,1180,1125,50
5637,2745,46800,2745,585,1045,235,185,110,200,155,230,920,1845,0,2745,995,1745
4176,1520,95000,1520,405,465,325,100,65,60,40,50,1450,15,55,1520,1400,115
1099,50,,50,0,0,35,0,0,0,0,0,50,0,0,50,40,10
5357,2045,94000,2045,75,1650,100,170,25,15,0,0,1700,350,0,2045,1535,505
8524,5430,48800,5430,65,115,590,945,450,610,535,2120,0,5400,30,5430,1805,3625
3593,1955,53600,1955,90,785,430,215,25,210,180,15,150,1805,0,1955,405,1550
7031,2215,68500,2215,240,750,380,710,75,30,0,25,5,2195,15,2215,910,1310
3184,1625,48000,1625,765,620,90,60,10,15,20,40,605,1020,0,1625,745,880
3418,1450,68500,1450,215,1105,55,40,10,0,10,0,1040,420,0,1450,990,455
5596,2045,107000,2045,310,460,560,300,175,85,75,70,1880,140,25,2045,1785,255
1876,905,38000,905,635,145,55,35,15,20,0,0,410,570,0,905,320,585
3763,1395,103000,1395,0,65,855,195,195,45,25,0,910,495,0,1395,1270,125
3305,1420,81000,1420,900,265,50,50,30,15,25,85,1080,340,0,1420,855,560
3348,1385,79000,1385,165,265,270,385,195,85,15,0,825,540,20,1385,985,405
4282,1420,107000,1420,15,80,1085,230,0,0,0,0,1355,45,20,1420,1310,110
4521,1160,91000,1160,15,40,90,310,370,155,95,80,1000,180,0,1160,925,240
8457,3010,82000,3010,20,295,420,520,235,615,330,570,2460,500,50,3010,2115,895
2713,910,111000,910,0,40,710,65,10,0,10,65,870,35,5,910,830,80
3354,1630,54000,1630,60,250,155,395,85,205,75,390,560,1100,0,1630,805,825
5650,1710,135000,1710,0,20,110,645,325,165,285,145,1710,10,0,1710,1650,55
5687,2370,82000,2370,250,1260,320,205,40,70,120,95,1280,1055,35,2370,1545,825
3450,2175,42400,2175,475,765,270,290,105,65,10,195,240,1905,30,2175,460,1715
3737,1670,53200,1670,525,665,185,115,30,35,50,65,790,865,15,1670,605,1065
6092,2535,71500,2535,375,1830,185,100,15,20,0,10,1985,555,0,2535,1425,1110
4479,2305,55200,2305,280,970,505,305,110,70,45,20,710,1580,15,2305,1135,1170
3027,950,94000,950,270,260,110,110,30,80,45,50,910,45,0,950,710,240
5411,2340,84000,2340,895,535,310,120,130,105,135,120,2140,190,10,2340,2065,270
5058,1985,66500,1985,55,1310,220,90,205,25,25,60,1450,495,40,1985,1385,600
3460,1345,65000,1345,50,600,450,200,0,10,25,10,1295,95,0,1345,970,370
4725,1610,126000,1610,0,15,345,270,155,230,505,90,1545,25,40,1610,1580,35
5984,2825,70500,2825,185,165,250,635,225,810,180,375,170,2700,0,2825,1470,1360
3588,1300,90000,1300,0,0,40,405,350,390,100,10,1065,225,10,1300,900,395
1325,705,55200,705,245,20,35,15,55,25,30,270,0,675,30,705,275,430
3478,1505,86000,1505,1280,170,10,35,0,0,0,0,1430,60,15,1505,1365,140
2929,1355,58400,1355,420,610,215,60,10,25,0,10,705,715,0,1355,745,610
5689,1975,114000,1975,60,245,660,455,165,115,155,130,1540,435,0,1975,1830,150
3308,1300,72500,1300,200,425,135,225,105,70,55,85,1260,45,0,1300,1075,220
4093,1240,104000,1240,10,0,170,455,220,340,35,15,1190,80,0,1240,1150,90
3212,1335,66500,1335,700,370,80,35,10,0,40,85,780,560,0,1335,820,510
7142,3080,56000,3080,1660,725,245,150,45,50,85,125,165,2910,5,3080,1190,1890
7473,2930,77000,2930,285,680,395,540,330,290,180,230,2235,690,5,2930,2225,705
4734,1565,127000,1565,10,145,1270,110,30,0,0,0,1530,35,0,1565,1510,55
3780,1950,50800,1950,625,440,150,95,110,165,225,135,215,1725,10,1950,750,1200
2526,1020,54400,1020,365,250,45,65,40,80,110,65,500,545,0,1020,285,740
9821,4760,56400,4760,115,865,630,380,140,450,660,1515,445,4315,0,4760,1910,2850
3686,1595,81000,1595,630,760,125,30,20,15,0,10,930,665,0,1595,1040,555
2883,1515,54400,1515,740,345,175,65,30,95,20,45,25,1520,0,1515,425,1090
5581,2280,78000,2280,990,865,125,120,70,30,40,35,1475,795,10,2280,1405,875
1082,480,23400,480,240,205,25,0,0,0,0,0,35,490,0,480,0,480
1115,375,113000,375,160,75,35,35,0,10,30,25,335,50,0,375,295,80
7623,3255,79500,3255,75,240,535,400,420,755,445,385,1840,1405,10,3255,2550,705
4209,1850,80000,1850,1350,300,105,45,25,0,15,10,780,1050,20,1850,925,925
3778,1655,53600,1655,620,670,135,105,55,25,25,20,120,1515,20,1655,500,1150
3442,1140,88000,1140,75,930,85,20,15,15,0,0,750,425,0,1140,940,200
4352,2115,56400,2115,505,410,180,85,100,185,410,245,810,1275,30,2115,660,1460
3310,1215,84000,1215,80,915,185,40,0,0,0,0,1095,115,5,1215,1005,205
5911,1705,134000,1705,15,25,195,640,30,310,225,270,1700,10,0,1705,1625,80
1643,430,170000,430,90,180,70,25,15,25,15,10,455,0,0,430,415,15
6545,2495,82000,2495,305,855,210,375,405,145,105,90,2260,235,0,2495,1930,560
6847,2065,84000,2065,520,745,115,155,80,90,105,245,845,1225,0,2065,1110,955
5085,2380,59200,2380,780,770,215,140,55,120,155,140,1905,440,35,2380,1815,570
5428,2525,58800,2525,260,1400,500,300,30,15,15,0,760,1755,10,2525,1075,1445
7332,3260,61200,3260,1955,830,125,105,85,60,35,75,2435,810,15,3260,1955,1305
8441,2805,123000,2805,15,85,120,1060,225,50,360,885,2695,115,0,2805,2450,355
5367,1870,117000,1870,830,790,80,40,10,30,25,65,1855,15,0,1870,1795,70
7132,2490,88000,2490,20,405,420,270,315,655,105,295,2255,260,0,2490,1930,555
1554,520,117000,520,0,10,0,55,50,75,195,125,495,5,20,520,500,20
3374,1410,109000,1410,1030,70,35,40,10,80,25,120,850,555,5,1410,1080,330
5157,1675,81000,1675,45,590,270,220,65,40,75,380,765,420,490,1675,1265,410
4912,1710,75500,1710,220,810,410,165,70,0,20,15,1000,675,35,1710,1370,340
2975,1395,73500,1395,1005,340,20,15,0,0,10,15,1015,350,30,1395,985,410
3964,1640,87000,1640,270,505,175,220,160,140,105,60,1495,115,30,1640,1435,200
6447,3545,55200,3545,560,2135,535,165,55,35,15,40,705,2870,0,3545,1040,2505
7354,3595,54000,3595,130,615,875,855,130,120,95,790,375,3225,0,3595,2070,1530
3387,1245,87000,1245,90,825,170,65,0,55,35,0,1020,235,0,1245,930,315
5401,1590,111000,1590,25,95,250,595,150,45,95,340,905,645,40,1590,1205,385
7408,2255,117000,2255,15,130,1120,820,150,20,0,10,2175,80,0,2255,2115,140
7622,2640,123000,2640,190,400,330,480,375,355,300,215,2470,45,125,2640,2420,215
3549,1715,51600,1715,520,795,245,110,20,10,10,15,460,1235,20,1715,550,1165
2819,1360,58800,1360,675,290,75,50,30,95,65,70,710,645,5,1360,815,545
3602,2040,44000,2040,555,900,220,190,85,45,25,20,40,2090,0,2040,355,1680
2676,1070,84000,1070,375,575,45,55,15,0,0,0,860,190,20,1070,765,310
3613,1415,62800,1415,135,505,485,135,60,45,10,35,870,575,0,1415,575,840
6707,2990,91000,2990,285,1205,575,565,90,80,40,145,2005,980,5,2990,2260,725
6482,2605,69500,2605,160,1865,255,155,60,65,20,20,1750,860,0,2605,1380,1220
3694,1345,95000,1345,60,745,120,205,60,35,50,70,1115,215,15,1345,1135,210
5241,2410,57200,2410,1045,1010,160,80,20,35,40,25,1700,695,15,2410,1200,1210
3538,1375,118000,1375,15,325,40,150,105,165,165,410,1085,285,5,1375,1085,290
4885,1820,75500,1820,705,455,120,130,40,120,115,135,1050,780,0,1820,1125,700
5047,1485,79000,1485,520,690,90,90,35,10,35,10,930,575,0,1485,935,560
3418,1340,105000,1340,540,455,65,85,0,20,75,95,980,345,15,1340,1215,120
6080,2250,67500,2250,315,1045,170,125,50,20,30,500,505,1790,0,2250,610,1640
1819,1135,29000,1135,685,205,110,80,15,0,20,25,35,1135,0,1135,75,1065
5945,2150,88000,2150,50,185,190,430,935,215,70,75,1655,520,0,2150,1570,580
2900,1185,87000,1185,345,805,10,10,0,0,0,10,1045,120,20,1185,1015,170
5418,2950,45200,2950,775,1170,445,395,25,30,50,70,1160,1805,0,2950,1130,1820
207,75,,75,0,0,30,25,0,10,0,0,70,5,0,75,35,10
2754,1165,41600,1165,310,535,140,65,70,35,0,0,20,1135,10,1165,60,1100
5206,2150,70500,2150,100,425,210,540,315,355,120,80,1345,810,0,2150,1470,680
2703,975,83000,975,265,445,110,75,15,15,20,30,935,45,0,975,895,80
12395,4275,97000,4275,135,685,410,510,345,990,800,395,3865,345,65,4275,3585,690
4068,1545,72500,1545,215,560,160,155,75,165,90,125,1050,370,125,1545,1080,465
5655,2865,54800,2865,1450,710,455,115,45,25,20,50,790,2080,0,2865,1445,1425
5829,2460,62000,2460,1300,620,150,140,100,25,15,110,1020,1435,5,2460,1225,1230
346,110,188000,110,0,20,20,40,10,0,0,25,100,5,5,110,110,0
3242,1235,78000,1235,420,210,40,335,135,35,35,25,1095,140,0,1235,920,315
4030,1650,80000,1650,340,460,225,185,165,155,60,60,1430,190,30,1650,1530,125
4255,1925,60400,1925,1580,235,45,40,0,10,15,0,1675,300,0,1925,1485,450
3445,1315,98000,1315,30,785,265,70,95,15,25,30,1185,125,5,1315,1040,280
4248,1830,65000,1830,165,1120,370,105,20,25,20,0,1365,450,15,1830,855,975
2465,985,58400,985,160,605,95,70,20,0,10,25,450,540,0,985,325,660
4046,1550,93000,1550,230,345,495,295,95,40,20,35,1310,255,0,1550,1215,340
2334,740,149000,740,0,10,0,360,285,20,35,20,720,0,20,740,685,50
3338,1240,102000,1240,35,780,385,25,0,0,10,0,1225,5,10,1240,1225,15
4271,1915,46000,1915,1035,495,205,110,15,0,30,25,585,1320,10,1915,520,1395
9287,3600,95000,3600,305,1185,360,525,125,250,270,580,2855,640,105,3600,2760,840
4528,1510,107000,1510,0,45,85,1300,70,10,10,0,1495,20,0,1510,1345,165
6092,2695,79000,2695,1615,545,145,115,30,45,75,130,1615,1060,20,2695,1760,935
6804,2800,53600,2800,490,1810,225,195,40,15,15,10,455,2345,0,2800,455,2345
6836,3260,60000,3260,1290,1360,260,220,25,25,25,50,780,2505,0,3260,895,2365
1387,690,60000,690,270,160,35,110,30,30,45,25,425,290,0,690,410,285
2127,935,69500,935,50,740,70,45,0,0,10,15,580,245,110,935,615,320
3429,1510,89000,1510,790,155,260,115,100,35,50,0,1290,195,25,1510,950,560
2082,710,98000,710,255,270,35,55,30,15,10,30,695,20,0,710,610,95
3223,1070,90000,1070,95,190,120,140,130,185,110,105,970,95,5,1070,855,215
8771,3245,81000,3245,330,990,350,430,190,405,250,295,2765,205,275,3245,2690,555
6550,2030,133000,2030,0,90,795,1055,60,0,0,25,1995,35,0,2030,1875,155
4677,1925,79000,1925,210,1385,105,80,55,40,30,10,1805,110,10,1925,1545,380
5055,2320,62400,2320,350,570,655,320,40,120,50,215,1195,1185,0,2320,1440,875
7043,2625,73500,2625,360,710,630,465,100,70,130,165,1595,1025,5,2625,1295,1335
3716,1585,70500,1585,300,1045,125,50,0,15,0,50,1410,170,5,1585,1150,435
2851,1230,85000,1230,710,380,75,30,0,15,10,10,1195,35,0,1230,1140,85
6048,1680,86000,1680,375,350,60,145,330,145,165,110,1665,20,0,1680,1320,365
4363,1660,69500,1660,10,445,500,410,45,85,80,85,775,930,0,1660,1195,470
4092,2050,52800,2050,1365,445,90,20,50,20,10,45,70,1970,10,2050,405,1650
4788,1735,78500,1735,10,35,45,1210,265,90,65,20,1695,40,0,1735,1460,275
10182,5340,57200,5340,130,455,245,430,420,805,1250,1600,210,5140,0,5340,2120,3225
4936,1740,111000,1740,425,470,385,225,80,50,40,70,1685,20,35,1740,1600,140
2708,1110,73000,1110,290,445,145,120,25,20,40,25,1010,65,35,1110,985,120
5630,2465,55600,2465,440,865,245,295,240,115,90,170,1385,1070,10,2465,1300,1165
5238,2485,48000,2485,375,1470,325,250,30,25,0,10,385,2120,0,2485,315,2175
3271,880,100000,880,0,10,0,10,25,55,575,205,875,20,0,880,775,110
7168,3305,66000,3305,925,935,310,520,135,155,130,195,1085,2230,0,3305,1615,1690
5756,1785,80000,1785,160,370,110,455,335,185,115,55,1440,325,20,1785,1270,515
3704,1545,74500,1545,95,1015,130,275,15,0,0,0,1315,160,70,1545,1240,305
2536,1060,63600,1060,10,195,145,245,100,95,95,175,515,535,10,1060,645,415
4143,1590,87000,1590,310,245,145,190,130,90,150,330,1490,65,35,1590,1415,175
3507,1375,89000,1375,15,50,325,365,455,140,30,0,1200,10,165,1375,1245,130
4196,1575,88000,1575,435,1015,60,35,15,10,0,10,865,690,20,1575,955,620
1591,730,66000,730,185,270,95,80,20,25,25,25,655,25,50,730,655,75
5660,2060,103000,2060,300,385,310,490,225,255,45,50,1750,305,5,2060,1765,290
2778,1135,69500,1135,215,575,175,70,10,20,25,50,1030,115,0,1135,945,195
5663,2155,104000,2155,25,485,995,335,155,150,10,10,1865,290,0,2155,1955,200
4761,1610,109000,1610,115,80,55,25,0,40,290,1000,1430,210,0,1610,1200,405
4313,2560,44400,2560,970,880,280,315,30,40,20,25,195,2335,30,2560,495,2065
2748,870,62400,870,310,295,105,90,25,10,15,15,45,850,0,870,115,750
1668,825,59600,825,15,455,105,45,45,125,30,10,20,0,805,825,725,105
4273,1080,88000,1080,0,0,30,65,600,290,70,20,785,270,25,1080,755,325
5830,3090,56400,3090,385,1325,420,505,110,115,185,40,145,2930,15,3090,1640,1455
3603,1355,104000,1355,45,470,190,370,65,95,45,70,1275,10,70,1355,1290,65
6309,1975,100000,1975,0,0,10,15,35,600,540,765,1850,145,0,1975,1485,490
2806,1290,58000,1290,885,205,55,70,20,25,40,0,760,515,15,1290,660,630
8587,2660,102000,2660,100,75,190,725,575,190,230,570,2590,70,0,2660,2140,520
3963,1640,69500,1640,10,85,680,740,70,20,20,15,645,1015,0,1640,1325,320
